method,models,num_models,val_accuracy,val_macro_f1,val_kappa,weights_json,class_adjustment_json,test_accuracy,test_macro_f1,test_kappa,test_f1_class_0,test_f1_class_1,test_f1_class_2,test_f1_class_3,test_f1_class_4
class_adjusted_soft_vote,"B2-4,B2-5,B2-6,R7,B0-7,B0-6,B2-6-GGC",7,0.8433734939759037,0.8171620227038183,0.9151329243353783,"[0.19718176, 0.02950509, 0.07901352, 0.28332101, 0.15087606, 0.0539812, 0.20612136]","[0.88847722, 1.62269095, 0.98269902, 1.47573651, 1.22009879]",0.6310679611650486,0.5822645694696511,0.7036070400856589,0.75,0.4444444444444444,0.5862068965517241,0.5789473684210527,0.5517241379310345
optimized_weighted_soft_vote,"B2-4,B2-6,R7,B0-7,B0-6,B2-6-GGC,B2-4-GCBM",7,0.8313253012048193,0.7715224457405461,0.9213556851311954,"[0.25373438, 0.07153325, 0.25507401, 0.18370543, 0.02601663, 0.15656448, 0.05337182]",,0.6116504854368932,0.4764104747711305,0.6805494018608773,0.7532467532467533,0.0,0.5573770491803278,0.5714285714285714,0.5
majority_vote,"B2-4,R7,B0-7,B2-6-GGC,B2-4-GCBM",5,0.8072289156626506,0.7526157256801369,0.8978424558355054,,,0.6116504854368932,0.5335868432642626,0.6943066222614921,0.7532467532467533,0.3333333333333333,0.5483870967741935,0.5714285714285714,0.46153846153846156
soft_vote,"B2-5,B0-7,B2-6-GGC",3,0.7710843373493976,0.7204481792717086,0.8394697049618455,,,0.6116504854368932,0.4872057007650228,0.7089110659719156,0.7407407407407407,0.0,0.5084745762711864,0.5714285714285714,0.6153846153846154
weighted_soft_vote,"B2-5,B0-7,B2-6-GGC",3,0.7710843373493976,0.7204481792717086,0.8394697049618455,"[0.35895147, 0.3140201, 0.32702843]",,0.6116504854368932,0.5442956478549699,0.7141366371367037,0.75,0.3333333333333333,0.5084745762711864,0.5142857142857142,0.6153846153846154
