run_id,experiment_name,epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_kappa,selection_metric,selection_score,learning_rate
R6,R6_resnet_crop_graham_mild_aug_ce_frozen,1,1.5780846537965716,1.5011700650295579,0.3855421686746988,0.30997128997129003,0.39789877428499953,macro_f1,0.30997128997129003,0.0001
R6,R6_resnet_crop_graham_mild_aug_ce_frozen,2,1.3678553292245577,1.7007921948490372,0.46987951807228917,0.341849174668249,0.49862307897308344,macro_f1,0.341849174668249,0.0001
R6,R6_resnet_crop_graham_mild_aug_ce_frozen,3,1.283210650357333,1.331415151975241,0.4578313253012048,0.3283036309632054,0.5407014463992673,macro_f1,0.3283036309632054,0.0001
R6,R6_resnet_crop_graham_mild_aug_ce_frozen,4,1.200273694414081,1.290750692407769,0.46987951807228917,0.35615404364569964,0.5989737443349938,macro_f1,0.35615404364569964,0.0001
R6,R6_resnet_crop_graham_mild_aug_ce_frozen,5,1.2398532889106058,1.3669741728219642,0.4939759036144578,0.36154088050314465,0.46583505482281906,macro_f1,0.36154088050314465,0.0001
R6,R6_resnet_crop_graham_mild_aug_ce_frozen,6,1.1846914211908977,1.266665877347969,0.5180722891566265,0.42304843304843304,0.5516346288761049,macro_f1,0.42304843304843304,0.0001
R6,R6_resnet_crop_graham_mild_aug_ce_frozen,7,1.1603647483117652,1.3444149558802685,0.46987951807228917,0.34375757575757576,0.529416598192276,macro_f1,0.34375757575757576,0.0001
R6,R6_resnet_crop_graham_mild_aug_ce_frozen,8,1.1424526998490998,1.2515882878418427,0.5662650602409639,0.49672594430658956,0.5574808397200933,macro_f1,0.49672594430658956,0.0001
R6,R6_resnet_crop_graham_mild_aug_ce_frozen,9,1.1105094057140927,1.1682369838277977,0.5421686746987951,0.40920082411624376,0.55424994952554,macro_f1,0.40920082411624376,0.0001
R6,R6_resnet_crop_graham_mild_aug_ce_frozen,10,1.132431690981894,1.1261141271476287,0.5421686746987951,0.42043476237024624,0.5026962252846016,macro_f1,0.42043476237024624,0.0001
R6,R6_resnet_crop_graham_mild_aug_ce_frozen,11,1.1157965797366518,1.1534456115171134,0.5542168674698795,0.4250608366573032,0.6873702821123837,macro_f1,0.4250608366573032,0.0001
