run_id,experiment_name,epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_kappa,selection_metric,selection_score,learning_rate
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,1,1.5337600809155088,1.243612464652004,0.46987951807228917,0.3943582853927681,0.63895601739971,macro_f1,0.3943582853927681,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,2,1.1897506265929252,1.0947446679494468,0.5542168674698795,0.4377136625915677,0.7567743569335408,macro_f1,0.4377136625915677,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,3,1.0627772544369554,1.1033209935728325,0.5301204819277109,0.43959380599460357,0.7400599128540305,macro_f1,0.43959380599460357,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,4,0.8944933465032866,1.0781776258744389,0.6265060240963856,0.5223399687615693,0.7908556403608078,macro_f1,0.5223399687615693,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,5,0.6825896022897778,1.1424887331135303,0.6024096385542169,0.47544957774465973,0.6961579253481132,macro_f1,0.47544957774465973,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,6,0.6392955969680439,1.038122167788356,0.6144578313253012,0.48840879595596576,0.774632694811233,macro_f1,0.48840879595596576,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,7,0.5726064201557275,1.0073770909424287,0.6024096385542169,0.5153200322915465,0.7728185102733477,macro_f1,0.5153200322915465,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,8,0.5780872110164527,1.0770684746374566,0.5662650602409639,0.4756055757843245,0.7453401856255274,macro_f1,0.4756055757843245,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,9,0.4745520020976211,0.9708432555198669,0.6385542168674698,0.4978450182250758,0.8018233123507705,macro_f1,0.4978450182250758,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,10,0.4641901649308927,0.9938210450023054,0.5903614457831325,0.45047233468286096,0.7784400482685486,macro_f1,0.45047233468286096,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,11,0.36953389838789447,1.0895220152584904,0.6385542168674698,0.5026915113871635,0.7942432171877152,macro_f1,0.5026915113871635,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,12,0.358737565351255,1.0782228320477956,0.6265060240963856,0.48765891472868217,0.7870955011838989,macro_f1,0.48765891472868217,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,13,0.36782811464685383,1.0411972970847625,0.5903614457831325,0.43580808080808076,0.7991704113377117,macro_f1,0.43580808080808076,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,14,0.35760389170186085,1.039030863578061,0.6024096385542169,0.4390524622204726,0.7421242774566474,macro_f1,0.4390524622204726,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,15,0.33012729359395576,0.9113155887069473,0.6626506024096386,0.5236432578012676,0.7879342561873165,macro_f1,0.5236432578012676,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,16,0.2642983168137796,1.0069380492331035,0.6506024096385542,0.5077879849092355,0.7880901866302277,macro_f1,0.5077879849092355,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,17,0.27941461126461176,1.002018650522433,0.6144578313253012,0.46256493506493507,0.7570603591488015,macro_f1,0.46256493506493507,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,18,0.2985615832448909,0.95870005114969,0.6265060240963856,0.461848109517601,0.76410625639471,macro_f1,0.461848109517601,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,19,0.22933603832215974,0.9689607218087438,0.6144578313253012,0.4913330308529945,0.7427154370737756,macro_f1,0.4913330308529945,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,20,0.24416433151698475,1.0312653586088893,0.6385542168674698,0.5423747426218257,0.8161617605030008,macro_f1,0.5423747426218257,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,21,0.22171679784854254,1.0141960784613369,0.6867469879518072,0.5424758613122668,0.8065129290248538,macro_f1,0.5424758613122668,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,22,0.19018816761672497,0.9953672192901014,0.6626506024096386,0.5687614289406003,0.7183487843274445,macro_f1,0.5687614289406003,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,23,0.22902224072904298,1.0389259019529964,0.6144578313253012,0.4919209039548022,0.6141082164328657,macro_f1,0.4919209039548022,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,24,0.24571882282581292,1.0204363376440773,0.6746987951807228,0.5264418928784762,0.8014354066985646,macro_f1,0.5264418928784762,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,25,0.2626572945211647,1.071561916226364,0.6506024096385542,0.48838407595209843,0.7960417081755994,macro_f1,0.48838407595209843,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,26,0.19729095664101118,0.909755453108305,0.7469879518072289,0.6237997441432508,0.84500750613306,macro_f1,0.6237997441432508,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,27,0.28130281065223794,1.1399662182273635,0.6385542168674698,0.5156034740940401,0.6704654069553709,macro_f1,0.5156034740940401,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,28,0.2407580946035909,0.9753039730600563,0.6265060240963856,0.45520581113801456,0.7248401610229694,macro_f1,0.45520581113801456,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,29,0.1985485970296643,0.9507484005158207,0.7108433734939759,0.5567812082097796,0.7867639502620491,macro_f1,0.5567812082097796,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,30,0.20842097722501918,0.944942786032895,0.6867469879518072,0.5985200413412437,0.7956815304543536,macro_f1,0.5985200413412437,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,31,0.32107407444467145,1.03450124558196,0.6746987951807228,0.5921319182609505,0.7448623631402618,macro_f1,0.5921319182609505,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,32,0.15825848984955387,1.0301978185952427,0.6867469879518072,0.584957264957265,0.7021459843536927,macro_f1,0.584957264957265,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,33,0.22503604704909252,0.887460335550538,0.6746987951807228,0.5497161625172329,0.8234372084344095,macro_f1,0.5497161625172329,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,34,0.217835882069035,1.0989828260548145,0.6265060240963856,0.5184912671869194,0.703417172593235,macro_f1,0.5184912671869194,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,35,0.15701104080671388,1.0575635038226483,0.6385542168674698,0.4527926373310325,0.7681923972071374,macro_f1,0.4527926373310325,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,36,0.23884400295545205,1.047412680035614,0.6506024096385542,0.49381948370077255,0.7637346996868773,macro_f1,0.49381948370077255,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,37,0.22959543600339782,1.0955618100622333,0.6385542168674698,0.5356024877650213,0.7520011804197868,macro_f1,0.5356024877650213,5e-05
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,38,0.19665093062953515,0.9049991389893624,0.6746987951807228,0.4990349672938706,0.8516149537165786,macro_f1,0.4990349672938706,5e-05
B2-2,B2_2_efficientnet_crop_graham_mild_aug_ce_frozen,1,1.5781007058692702,1.1359693709626255,0.5662650602409639,0.4873593073593073,0.6691839731487309,macro_f1,0.4873593073593073,0.0005
B2-2,B2_2_efficientnet_crop_graham_mild_aug_ce_frozen,2,1.3185646066159913,1.0836209798433694,0.5542168674698795,0.44149316686630125,0.6889530063343614,macro_f1,0.44149316686630125,0.0005
