run_id,stage,model_id,preprocessing_mode,epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_kappa
screen_B2-4_none,screen,B2-4,none,1,1.4694636272661614,1.1775903615606838,0.5783132530120482,0.5092382918079512,0.6350140519094065
screen_B2-4_none,screen,B2-4,none,2,1.1026059352990352,1.0294374866657947,0.5662650602409639,0.44715854194115057,0.6562901613594174
screen_B2-4_none,screen,B2-4,none,3,0.9718246015635403,0.9649750561599272,0.6626506024096386,0.5273125342090859,0.7203104258143571
screen_B2-4_none,screen,B2-4,none,4,0.8521258883404009,0.8989729371415563,0.7108433734939759,0.5767295172345012,0.8106103822019395
screen_B2-4_none,screen,B2-4,none,5,0.698068749182152,0.9660551878343145,0.6987951807228916,0.5537608225108225,0.7805869992543889
screen_B2-4_none,screen,B2-4,none,6,0.6372563158020829,0.9068482798266123,0.6867469879518072,0.5407061994609165,0.7066324762630813
screen_B2-4_none,screen,B2-4,none,7,0.5266552117737857,0.8372627618801163,0.6626506024096386,0.5145185185185185,0.6374308920892772
screen_B2-4_none,screen,B2-4,none,8,0.5105694508010691,0.9861188107226269,0.5903614457831325,0.45093652004407153,0.6875488315931529
screen_B2-4_none,screen,B2-4,none,9,0.3930027088432601,0.9330820455608597,0.6626506024096386,0.5107064947407072,0.7264221158958001
screen_B2-4_none,screen,B2-4,none,10,0.4574830671151479,0.9381590090602278,0.6987951807228916,0.5365820608757206,0.818274704422712
screen_B2-4_gamma_correction,screen,B2-4,gamma_correction,1,1.4543853759765626,1.1247521818402302,0.5662650602409639,0.46782657148881057,0.6306246909510467
screen_B2-4_gamma_correction,screen,B2-4,gamma_correction,2,1.1552385727564494,0.93067771339991,0.6626506024096386,0.5578256963162623,0.7632829829935566
screen_B2-4_gamma_correction,screen,B2-4,gamma_correction,3,1.0081946835373388,0.9045610768967364,0.6626506024096386,0.5733221288515405,0.7235828765697634
screen_B2-4_gamma_correction,screen,B2-4,gamma_correction,4,0.8849181807402409,0.8235458868095674,0.7469879518072289,0.59783747964381,0.8766890696851787
screen_B2-4_gamma_correction,screen,B2-4,gamma_correction,5,0.7244840158657594,0.9041560694395777,0.7590361445783133,0.6361629881154499,0.8321508140531277
screen_B2-4_gamma_correction,screen,B2-4,gamma_correction,6,0.6363546252250671,0.8402262229517282,0.6987951807228916,0.5597862780813601,0.8301580581428168
screen_B2-4_gamma_correction,screen,B2-4,gamma_correction,7,0.5648039915796482,0.7932348840207939,0.6867469879518072,0.5219114219114219,0.8127071433608349
screen_B2-4_gamma_correction,screen,B2-4,gamma_correction,8,0.5358482040239103,0.855838905615979,0.6987951807228916,0.5857989417989418,0.8214927899023375
screen_B2-4_gamma_correction,screen,B2-4,gamma_correction,9,0.40721931222713353,0.8075284268482622,0.6867469879518072,0.5165298142717497,0.8232066139571825
screen_B2-4_gamma_correction,screen,B2-4,gamma_correction,10,0.4545878520743413,0.8521572021116693,0.6626506024096386,0.4800991279252148,0.7970514203523913
screen_B2-4_gamma_correction,screen,B2-4,gamma_correction,11,0.4306261064202497,0.8843823089657059,0.7108433734939759,0.55820649938297,0.7327907397359379
screen_B2-4_gray_gamma_clahe,screen,B2-4,gray_gamma_clahe,1,1.4592729084419482,1.1779284161257457,0.5421686746987951,0.4704591532498509,0.6625896991763583
screen_B2-4_gray_gamma_clahe,screen,B2-4,gray_gamma_clahe,2,1.1270118991533915,0.98874488077968,0.6746987951807228,0.5788373994820771,0.750117886031412
screen_B2-4_gray_gamma_clahe,screen,B2-4,gray_gamma_clahe,3,1.025427441705357,0.9482741183545216,0.6385542168674698,0.5457142857142856,0.7363327423167849
screen_B2-4_gray_gamma_clahe,screen,B2-4,gray_gamma_clahe,4,0.8775168572411393,0.9174537881311163,0.6144578313253012,0.5043771043771044,0.7272032408469006
screen_B2-4_gray_gamma_clahe,screen,B2-4,gray_gamma_clahe,5,0.6814110799269243,0.9223554902766125,0.6506024096385542,0.5309814563545906,0.7566474572844
screen_B2-4_gray_gamma_clahe,screen,B2-4,gray_gamma_clahe,6,0.5890742643312974,0.9137263197496713,0.6385542168674698,0.49513858424725826,0.7475824363574235
screen_B2-4_gray_gamma_clahe,screen,B2-4,gray_gamma_clahe,7,0.5224788551980799,0.8705538748258568,0.6867469879518072,0.5918407128933445,0.8091549046658884
screen_B2-4_gray_gamma_clahe,screen,B2-4,gray_gamma_clahe,8,0.5019145262286518,0.8845209745039423,0.6746987951807228,0.5873382269904008,0.802480709598327
screen_B2-4_gray_gamma_clahe,screen,B2-4,gray_gamma_clahe,9,0.41104970362150306,0.9454865355089487,0.6626506024096386,0.5848017936805122,0.8058905210845575
screen_B2-4_gray_gamma_clahe,screen,B2-4,gray_gamma_clahe,10,0.4373751183350881,0.9496824367936835,0.6626506024096386,0.56011544011544,0.8399109792284867
screen_B2-4_gray_gamma_clahe,screen,B2-4,gray_gamma_clahe,11,0.3992537722443089,1.1563091780765946,0.6385542168674698,0.5321524898304829,0.7537252600345626
screen_B2-4_gray_gamma_clahe,screen,B2-4,gray_gamma_clahe,12,0.27292803580110725,0.9912299161933991,0.6506024096385542,0.5129148629148629,0.7535747193120159
screen_B2-4_gray_gamma_clahe,screen,B2-4,gray_gamma_clahe,13,0.3428455979704405,0.9782809331474533,0.7108433734939759,0.6397381902466648,0.8055049283987353
screen_B2-4_gray_gamma_clahe,screen,B2-4,gray_gamma_clahe,14,0.3541947817091237,0.9080146547541561,0.6746987951807228,0.5318433289210196,0.8145852850039634
screen_B2-4_gray_gamma_clahe,screen,B2-4,gray_gamma_clahe,15,0.3445037421177734,0.9090615317045924,0.6987951807228916,0.5508757525998906,0.8249916768394185
screen_B2-4_gray_gamma_clahe,screen,B2-4,gray_gamma_clahe,16,0.2939337544933413,1.0860019821718514,0.6746987951807228,0.5794994622863475,0.8157570205419118
screen_B2-4_gray_gamma_clahe,screen,B2-4,gray_gamma_clahe,17,0.27609403027278007,1.0075440830494984,0.6506024096385542,0.55837870538415,0.8291176470588235
