run_id,experiment_name,model,report_note,hyperparameter_source,image_size,batch_size,num_workers,num_epochs_configured,epochs_ran,patience,min_delta,selection_metric,seed,val_size,use_stratified_split,device_mode,device_used,best_epoch,best_selection_score,best_val_loss_during_training,best_model_path,use_fundus_preprocessing,preprocessing_preset,preprocess_crop_threshold,preprocess_crop_padding,clahe_clip_limit,clahe_tile_grid_size,graham_blur_sigma,graham_blend_alpha,graham_blend_beta,graham_blend_gamma,sampling_strategy,use_weighted_sampler,use_augmentation,use_random_flip,use_random_rotation,use_color_jitter,use_random_resized_crop,use_random_erasing,random_rotation_degrees,random_resized_crop_scale,color_jitter_brightness,color_jitter_contrast,color_jitter_saturation,color_jitter_hue,random_erasing_p,loss_name,use_weighted_loss,focal_gamma,optimizer_name,learning_rate,weight_decay,momentum,use_lr_scheduler,lr_scheduler_factor,lr_scheduler_patience,min_lr,use_frozen_backbone,use_custom_classification_head,custom_head_hidden_dim,model_dropout,pretrained_weights,train_samples,val_samples,test_samples,elapsed_minutes,val_loss,val_accuracy,val_macro_f1,val_kappa,test_loss,test_accuracy,test_macro_f1,test_kappa,val_confusion_matrix_json,test_confusion_matrix_json,val_precision_class_0,val_recall_class_0,val_f1_class_0,val_support_class_0,val_precision_class_1,val_recall_class_1,val_f1_class_1,val_support_class_1,val_precision_class_2,val_recall_class_2,val_f1_class_2,val_support_class_2,val_precision_class_3,val_recall_class_3,val_f1_class_3,val_support_class_3,val_precision_class_4,val_recall_class_4,val_f1_class_4,val_support_class_4,val_macro_precision,val_macro_recall,val_weighted_precision,val_weighted_recall,val_weighted_f1,test_precision_class_0,test_recall_class_0,test_f1_class_0,test_support_class_0,test_precision_class_1,test_recall_class_1,test_f1_class_1,test_support_class_1,test_precision_class_2,test_recall_class_2,test_f1_class_2,test_support_class_2,test_precision_class_3,test_recall_class_3,test_f1_class_3,test_support_class_3,test_precision_class_4,test_recall_class_4,test_f1_class_4,test_support_class_4,test_macro_precision,test_macro_recall,test_weighted_precision,test_weighted_recall,test_weighted_f1
B2-1,B2_1_efficientnet_crop_graham_ce_finetune,efficientnet_b2,Tests the strongest recurring signal: crop_graham plus full fine-tuning.,targeted_from_resnet_and_b0_results,384,4,2,60,38,12,0.0001,macro_f1,42,0.2,True,cuda,cuda,26,0.6237997441432508,0.909755453108305,/kaggle/working/b2_1_best_efficientnet_b2.pth,True,crop_graham,10,16,2.0,"(8, 8)",10,4.0,-4.0,128,none,False,False,False,False,False,False,False,10,"(0.85, 1.0)",0.1,0.1,0.05,0.02,0.15,cross_entropy,False,2.0,adam,5e-05,0.0001,0.9,False,0.5,3,1e-06,False,True,256,0.2,EfficientNet_B2_Weights.IMAGENET1K_V1,330,83,103,110.06064898173014,0.909755453108305,0.7469879518072289,0.6237997441432508,0.84500750613306,1.4666637830363893,0.5339805825242718,0.4257142857142857,0.5648543982296435,"[[26, 1, 0, 0, 0], [2, 0, 2, 0, 0], [3, 2, 18, 3, 1], [0, 1, 4, 10, 0], [1, 0, 0, 1, 8]]","[[22, 4, 8, 0, 0], [3, 0, 1, 1, 0], [7, 2, 15, 7, 1], [2, 1, 0, 15, 1], [2, 1, 4, 3, 3]]",0.8125,0.9629629629629629,0.8813559322033898,27.0,0.0,0.0,0.0,4.0,0.75,0.6666666666666666,0.7058823529411765,27.0,0.7142857142857143,0.6666666666666666,0.6896551724137931,15.0,0.8888888888888888,0.8,0.8421052631578947,10.0,0.6331349206349206,0.6192592592592593,0.7444659590743928,0.7469879518072289,0.7424254688757727,0.6111111111111112,0.6470588235294118,0.6285714285714286,34.0,0.0,0.0,0.0,5.0,0.5357142857142857,0.46875,0.5,32.0,0.5769230769230769,0.7894736842105263,0.6666666666666666,19.0,0.6,0.23076923076923078,0.3333333333333333,13.0,0.4647496947496947,0.42721034770183375,0.5503123629337221,0.5339805825242718,0.5278779472954229
B2-2,B2_2_efficientnet_crop_graham_mild_aug_ce_frozen,efficientnet_b2,Tests the B0-6 signal: mild augmentation with frozen backbone.,targeted_from_resnet_and_b0_results,384,4,2,60,16,12,0.0001,macro_f1,42,0.2,True,cuda,cuda,4,0.5305152979066022,1.0128170819167632,/kaggle/working/b2_2_best_efficientnet_b2.pth,True,crop_graham,10,16,2.0,"(8, 8)",10,4.0,-4.0,128,none,False,True,True,True,True,False,False,10,"(0.85, 1.0)",0.1,0.1,0.05,0.02,0.15,cross_entropy,False,2.0,adam,0.0005,0.001,0.9,False,0.5,3,1e-06,True,True,256,0.2,EfficientNet_B2_Weights.IMAGENET1K_V1,330,83,103,49.46239088773727,1.0128170819167632,0.6024096385542169,0.5305152979066022,0.770479439755791,1.4408705790066025,0.46601941747572817,0.40582046371168784,0.5693901663182768,"[[22, 3, 2, 0, 0], [1, 2, 1, 0, 0], [3, 4, 14, 6, 0], [0, 2, 2, 5, 6], [1, 1, 0, 1, 7]]","[[21, 6, 5, 1, 1], [1, 1, 3, 0, 0], [5, 2, 11, 8, 6], [2, 0, 3, 9, 5], [2, 0, 4, 1, 6]]",0.8148148148148148,0.8148148148148148,0.8148148148148148,27.0,0.16666666666666666,0.5,0.25,4.0,0.7368421052631579,0.5185185185185185,0.6086956521739131,27.0,0.4166666666666667,0.3333333333333333,0.37037037037037035,15.0,0.5384615384615384,0.7,0.6086956521739131,10.0,0.5346903583745688,0.5733333333333335,0.6529640830528592,0.6024096385542169,0.6153890926022934,0.6774193548387096,0.6176470588235294,0.6461538461538462,34.0,0.1111111111111111,0.2,0.14285714285714285,5.0,0.4230769230769231,0.34375,0.3793103448275862,32.0,0.47368421052631576,0.47368421052631576,0.47368421052631576,19.0,0.3333333333333333,0.46153846153846156,0.3870967741935484,13.0,0.4037249865772786,0.41932394617766133,0.48989911157152,0.46601941747572817,0.4743078211894697
B2-3,B2_3_efficientnet_crop_graham_mild_aug_ce_finetune,efficientnet_b2,Combines the two strongest candidates: fine-tuning and mild augmentation.,targeted_from_resnet_and_b0_results,384,4,2,60,26,12,0.0001,macro_f1,42,0.2,True,cuda,cuda,14,0.6335313238770686,0.9185678269489702,/kaggle/working/b2_3_best_efficientnet_b2.pth,True,crop_graham,10,16,2.0,"(8, 8)",10,4.0,-4.0,128,none,False,True,True,True,True,False,False,10,"(0.85, 1.0)",0.1,0.1,0.05,0.02,0.15,cross_entropy,False,2.0,adam,5e-05,0.0001,0.9,False,0.5,3,1e-06,False,True,256,0.2,EfficientNet_B2_Weights.IMAGENET1K_V1,330,83,103,80.11390518744787,0.9185678269489702,0.7228915662650602,0.6335313238770686,0.7512604449458802,1.27707781259296,0.5533980582524272,0.41388931101117254,0.576049585976466,"[[27, 0, 0, 0, 0], [1, 1, 2, 0, 0], [6, 0, 16, 4, 1], [1, 0, 1, 11, 2], [2, 0, 1, 2, 5]]","[[27, 0, 7, 0, 0], [2, 0, 3, 0, 0], [6, 0, 18, 5, 3], [2, 0, 6, 8, 3], [3, 0, 5, 1, 4]]",0.7297297297297297,1.0,0.84375,27.0,1.0,0.25,0.4,4.0,0.8,0.5925925925925926,0.6808510638297872,27.0,0.6470588235294118,0.7333333333333333,0.6875,15.0,0.625,0.5,0.5555555555555556,10.0,0.7603577106518282,0.6151851851851852,0.7380552416342636,0.7228915662650602,0.7064130636019255,0.675,0.7941176470588235,0.7297297297297297,34.0,0.0,0.0,0.0,5.0,0.46153846153846156,0.5625,0.5070422535211268,32.0,0.5714285714285714,0.42105263157894735,0.48484848484848486,19.0,0.4,0.3076923076923077,0.34782608695652173,13.0,0.4215934065934066,0.41707251726601574,0.5221007148191615,0.5533980582524272,0.5317477986994452
B2-4,B2_4_efficientnet_none_ce_finetune,efficientnet_b2,Control run: checks whether crop_graham is actually useful for B2 fine-tuning.,targeted_from_resnet_and_b0_results,384,4,2,60,16,12,0.0001,macro_f1,42,0.2,True,cuda,cuda,4,0.5767295172345012,0.8989683281944458,/kaggle/working/b2_4_best_efficientnet_b2.pth,True,none,10,16,2.0,"(8, 8)",10,4.0,-4.0,128,none,False,False,False,False,False,False,False,10,"(0.85, 1.0)",0.1,0.1,0.05,0.02,0.15,cross_entropy,False,2.0,adam,5e-05,0.0001,0.9,False,0.5,3,1e-06,False,True,256,0.2,EfficientNet_B2_Weights.IMAGENET1K_V1,330,83,103,9.784482423464457,0.8989683281944458,0.7108433734939759,0.5767295172345012,0.8106103822019395,1.2666238667895493,0.5825242718446602,0.5156709956709957,0.600727132641514,"[[24, 2, 1, 0, 0], [3, 0, 0, 0, 1], [4, 1, 16, 5, 1], [1, 0, 0, 13, 1], [0, 0, 2, 2, 6]]","[[24, 0, 6, 3, 1], [4, 1, 0, 0, 0], [5, 0, 18, 7, 2], [2, 0, 4, 12, 1], [1, 0, 3, 4, 5]]",0.75,0.8888888888888888,0.8135593220338984,27.0,0.0,0.0,0.0,4.0,0.8421052631578947,0.5925925925925926,0.6956521739130435,27.0,0.65,0.8666666666666667,0.7428571428571429,15.0,0.6666666666666666,0.6,0.631578947368421,10.0,0.5817543859649122,0.5896296296296296,0.7157049249630099,0.7108433734939759,0.7012934579169732,0.6666666666666666,0.7058823529411765,0.6857142857142857,34.0,1.0,0.2,0.3333333333333333,5.0,0.5806451612903226,0.5625,0.5714285714285714,32.0,0.46153846153846156,0.631578947368421,0.5333333333333333,19.0,0.5555555555555556,0.38461538461538464,0.45454545454545453,13.0,0.6528811690102012,0.49691533698499646,0.604259852615631,0.5825242718446602,0.5758164165931156
