Group,Group Name,Group Note,Number of Signals,Signals,Strategy,Protocol,Fold,Epoch Selection Train Subjects,Validation Subject,Final Train Subjects,Test Subject,Late Weight - Waist Acceleration,Late Weight - Chest Acceleration,Late Weight - Left Ankle Acceleration,Late Weight - right Ankle Acceleration,Late Weight - left wrist Acceleration,Late Weight - right wrist Acceleration,Late Weight - EMG_magnitude_left,Late Weight - EMG_magnitude_right,Late Weight - left wrist electrodermal,Late Weight - right wrist electrodermal,Late Weight - left wrist Temperature,Late Weight - right wrist Temperature,Late Weight - Breath Frequency,Late Weight - Minute Ventilation,Late Weight - SpO2,Late Weight - Heart Rate,Late Fusion Bias,Best Epoch,Epoch Selection Trained Epochs,Epoch Selection Time Seconds,Final Training Time Seconds,Total Training Time Seconds,Number of Parameters,Epoch Selection Seed,Final Training Seed,Validation_Window_RMSE_W_kg,Validation_Window_MAE_W_kg,Validation_Window_R2_W_kg,Validation_Window_RMSE_kcal_min,Validation_Window_MAE_kcal_min,Validation_Window_R2_kcal_min,Validation_Segment_RMSE_W_kg,Validation_Segment_MAE_W_kg,Validation_Segment_R2_W_kg,Validation_Segment_RMSE_kcal_min,Validation_Segment_MAE_kcal_min,Validation_Segment_R2_kcal_min,Test_Window_RMSE_W_kg,Test_Window_MAE_W_kg,Test_Window_R2_W_kg,Test_Window_RMSE_kcal_min,Test_Window_MAE_kcal_min,Test_Window_R2_kcal_min,Test_Segment_RMSE_W_kg,Test_Segment_MAE_W_kg,Test_Segment_R2_W_kg,Test_Segment_RMSE_kcal_min,Test_Segment_MAE_kcal_min,Test_Segment_R2_kcal_min,Source_File
G1,Local,All accelerations plus both EMG magnitude signals.,8,"[""Waist Acceleration"", ""Chest Acceleration"", ""Left Ankle Acceleration"", ""right Ankle Acceleration"", ""left wrist Acceleration"", ""right wrist Acceleration"", ""EMG_magnitude_left"", ""EMG_magnitude_right""]",early_fusion,two_stage_8_train_1_validation_then_9_train_1_test,1,"[3, 4, 5, 6, 7, 8, 9, 10]",2,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",1,,,,,,,,,,,,,,,,,,18,30,50.56106352806091,30.508591651916504,81.06965517997742,18465,52,100052,1.539886486402965,1.2190638780593872,0.764346718788147,1.4020180071519175,1.109919190406799,0.764346718788147,1.424125901887498,1.1604948043823242,0.7987700700759888,1.2966216425854522,1.056593894958496,0.798770010471344,2.781107009469452,2.079397678375244,-0.282135009765625,2.5321103741301134,1.893226146697998,-0.2821352481842041,2.714759441136947,2.0557241439819336,-0.2216901779174804,2.471703030744669,1.87167227268219,-0.22169029712677,phase_d_fusion_fold_results_1_3.csv
G1,Local,All accelerations plus both EMG magnitude signals.,8,"[""Waist Acceleration"", ""Chest Acceleration"", ""Left Ankle Acceleration"", ""right Ankle Acceleration"", ""left wrist Acceleration"", ""right wrist Acceleration"", ""EMG_magnitude_left"", ""EMG_magnitude_right""]",early_fusion,two_stage_8_train_1_validation_then_9_train_1_test,2,"[1, 4, 5, 6, 7, 8, 9, 10]",3,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",2,,,,,,,,,,,,,,,,,,4,16,27.209738969802856,10.728522062301636,37.93826103210449,18465,62,100062,1.4974307468048198,1.21890389919281,0.7720839977264404,1.528925240330013,1.2445403337478638,0.7720840573310852,1.4329635523854785,1.1446202993392944,0.7912859916687012,1.4631023177417894,1.1686946153640747,0.7912859916687012,1.7371049994586647,1.3474582433700562,0.7001194953918457,1.5815793746051032,1.226818323135376,0.7001194953918457,1.717275090712789,1.3282198905944824,0.7073991298675537,1.563524901901459,1.209302306175232,0.7073990702629089,phase_d_fusion_fold_results_1_3.csv
G1,Local,All accelerations plus both EMG magnitude signals.,8,"[""Waist Acceleration"", ""Chest Acceleration"", ""Left Ankle Acceleration"", ""right Ankle Acceleration"", ""left wrist Acceleration"", ""right wrist Acceleration"", ""EMG_magnitude_left"", ""EMG_magnitude_right""]",early_fusion,two_stage_8_train_1_validation_then_9_train_1_test,3,"[1, 2, 5, 6, 7, 8, 9, 10]",4,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",3,,,,,,,,,,,,,,,,,,12,24,37.575220584869385,21.58249807357788,59.15771865844727,18465,72,100072,1.5019585221172536,1.2159335613250732,0.7620022296905518,1.4652710151616748,1.186232566833496,0.7620022296905518,1.455961105440255,1.2073434591293335,0.7763563394546509,1.4203971476662394,1.1778522729873655,0.7763563394546509,1.6695887540090308,1.3242992162704468,0.7166649103164673,1.7047042524177205,1.3521523475646973,0.7166649103164673,1.5719432808396363,1.2715930938720703,0.7488373517990112,1.6050049791823304,1.298337697982788,0.7488373517990112,phase_d_fusion_fold_results_1_3.csv
G1,Local,All accelerations plus both EMG magnitude signals.,8,"[""Waist Acceleration"", ""Chest Acceleration"", ""Left Ankle Acceleration"", ""right Ankle Acceleration"", ""left wrist Acceleration"", ""right wrist Acceleration"", ""EMG_magnitude_left"", ""EMG_magnitude_right""]",early_fusion,two_stage_8_train_1_validation_then_9_train_1_test,4,"[1, 2, 3, 6, 7, 8, 9, 10]",5,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",4,,,,,,,,,,,,,,,,,,22,34,50.3858380317688,34.3167462348938,84.7025842666626,18465,82,100082,1.482281945903302,1.1094920635223389,0.7813470959663391,1.4460750733194252,1.0823911428451538,0.7813470959663391,1.3164155772979558,1.0034531354904177,0.8271339535713196,1.2842601678381522,0.978942334651947,0.8271340131759644,1.6208723905249194,1.0881232023239136,0.7228246331214905,1.5812803393683783,1.0615442991256714,0.7228245735168457,1.551117137595429,1.021273851394653,0.7461680769920349,1.5132290493888578,0.9963276982307434,0.7461680173873901,phase_d_fusion_fold_results_1_3.csv
G1,Local,All accelerations plus both EMG magnitude signals.,8,"[""Waist Acceleration"", ""Chest Acceleration"", ""Left Ankle Acceleration"", ""right Ankle Acceleration"", ""left wrist Acceleration"", ""right wrist Acceleration"", ""EMG_magnitude_left"", ""EMG_magnitude_right""]",early_fusion,two_stage_8_train_1_validation_then_9_train_1_test,5,"[1, 2, 3, 4, 7, 8, 9, 10]",6,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",5,,,,,,,,,,,,,,,,,,28,40,57.40852665901184,42.28823900222778,99.69676566123962,18465,92,100092,1.8043252160207863,1.396107792854309,0.6532067060470581,1.7602520100111143,1.3620057106018066,0.6532067060470581,1.760919766137932,1.3640037775039673,0.6696912050247192,1.717906814437151,1.33068585395813,0.6696912050247192,1.725411700447537,1.2727047204971311,0.7037358283996582,1.683265955051786,1.24161696434021,0.7037358283996582,1.633049249596679,1.212916374206543,0.7339751720428467,1.593159584936089,1.1832891702651978,0.7339751720428467,phase_d_fusion_fold_results_1_3.csv
G1,Local,All accelerations plus both EMG magnitude signals.,8,"[""Waist Acceleration"", ""Chest Acceleration"", ""Left Ankle Acceleration"", ""right Ankle Acceleration"", ""left wrist Acceleration"", ""right wrist Acceleration"", ""EMG_magnitude_left"", ""EMG_magnitude_right""]",early_fusion,two_stage_8_train_1_validation_then_9_train_1_test,6,"[1, 2, 3, 4, 5, 8, 9, 10]",7,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",6,,,,,,,,,,,,,,,,,,9,21,33.235010862350464,17.7945556640625,51.02956652641296,18465,102,100102,1.6777251379893423,1.2066984176635742,0.790633499622345,2.2913938764569064,1.6480777263641355,0.790633499622345,1.5498209173053392,1.1515047550201416,0.8213394284248352,2.116705808002287,1.5726956129074097,0.8213394284248352,2.1039241865082645,1.6423009634017944,0.5284788608551025,2.0525329665255847,1.6021852493286133,0.5284788012504578,2.0702325769508256,1.6024324893951416,0.5434595346450806,2.0196641771261628,1.56329083442688,0.5434595346450806,phase_d_fusion_fold_results_1_3.csv
G1,Local,All accelerations plus both EMG magnitude signals.,8,"[""Waist Acceleration"", ""Chest Acceleration"", ""Left Ankle Acceleration"", ""right Ankle Acceleration"", ""left wrist Acceleration"", ""right wrist Acceleration"", ""EMG_magnitude_left"", ""EMG_magnitude_right""]",early_fusion,two_stage_8_train_1_validation_then_9_train_1_test,7,"[1, 2, 3, 4, 5, 6, 9, 10]",8,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",7,,,,,,,,,,,,,,,,,,4,16,26.717028379440308,10.952292203903198,37.66932058334351,18465,112,100112,1.4090214017186178,1.172831416130066,0.7123358845710754,1.3287368711323564,1.1060045957565308,0.7123358249664307,1.3521382863888196,1.1279358863830566,0.7350934147834778,1.2750947150411005,1.063667058944702,0.7350934743881226,2.595994920023222,1.954723000526428,0.4987282156944275,3.545543000422739,2.669710874557495,0.4987282156944275,2.538545432627351,1.9450054168701167,0.5206689834594727,3.46708020409127,2.6564383506774902,0.5206689834594727,phase_d_fusion_fold_results_1_3.csv
G1,Local,All accelerations plus both EMG magnitude signals.,8,"[""Waist Acceleration"", ""Chest Acceleration"", ""Left Ankle Acceleration"", ""right Ankle Acceleration"", ""left wrist Acceleration"", ""right wrist Acceleration"", ""EMG_magnitude_left"", ""EMG_magnitude_right""]",early_fusion,two_stage_8_train_1_validation_then_9_train_1_test,8,"[1, 2, 3, 4, 5, 6, 7, 10]",9,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",8,,,,,,,,,,,,,,,,,,4,16,26.17157745361328,10.563934087753296,36.73551154136658,18465,122,100122,2.133091611380131,1.3935432434082031,0.536527693271637,2.108518073189277,1.3774895668029783,0.5365276336669922,2.111690917062751,1.3894122838974,0.5457807779312134,2.087364023314193,1.3734060525894165,0.5457807183265686,1.3024815624345216,1.1282732486724854,0.7541933059692383,1.2282673838150222,1.0639853477478027,0.7541933655738831,1.273425143129273,1.117667317390442,0.7650381326675415,1.2008665611722642,1.0539836883544922,0.7650381922721863,phase_d_fusion_fold_results_1_3.csv
G1,Local,All accelerations plus both EMG magnitude signals.,8,"[""Waist Acceleration"", ""Chest Acceleration"", ""Left Ankle Acceleration"", ""right Ankle Acceleration"", ""left wrist Acceleration"", ""right wrist Acceleration"", ""EMG_magnitude_left"", ""EMG_magnitude_right""]",early_fusion,two_stage_8_train_1_validation_then_9_train_1_test,9,"[1, 2, 3, 4, 5, 6, 7, 8]",10,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",9,,,,,,,,,,,,,,,,,,8,20,32.43612194061279,16.17496395111084,48.61108589172363,18465,132,100132,1.081394435077795,0.8214464783668518,0.7226204872131348,0.9002143538371634,0.6838188767433167,0.7226204872131348,0.8777973215292175,0.6756218671798706,0.8165977597236633,0.7307284296475693,0.5624261498451233,0.8165978193283081,1.9946314163845893,1.3828223943710327,0.5947433710098267,1.9716530845778355,1.3668920993804932,0.5947433710098267,1.9452551408147496,1.342431902885437,0.6145589351654053,1.92284554886931,1.3269670009613037,0.6145589351654053,phase_d_fusion_fold_results_1_3.csv
G1,Local,All accelerations plus both EMG magnitude signals.,8,"[""Waist Acceleration"", ""Chest Acceleration"", ""Left Ankle Acceleration"", ""right Ankle Acceleration"", ""left wrist Acceleration"", ""right wrist Acceleration"", ""EMG_magnitude_left"", ""EMG_magnitude_right""]",early_fusion,two_stage_8_train_1_validation_then_9_train_1_test,10,"[2, 3, 4, 5, 6, 7, 8, 9]",1,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",10,,,,,,,,,,,,,,,,,,2,14,24.435603618621823,8.317621231079102,32.75322484970093,18465,142,100142,1.2430006041122528,1.020772933959961,0.7438814640045166,1.1317128072517046,0.9293814301490784,0.7438814640045166,1.21134075710546,1.0047965049743652,0.7567622065544128,1.1028874322475226,0.914835512638092,0.7567622661590576,1.7614507027191368,1.2920167446136477,0.2640520930290222,1.4663320076489783,1.075548529624939,0.2640520930290222,1.750546778681743,1.2794615030288696,0.2706036567687988,1.4572549193163926,1.0650966167449951,0.270603597164154,phase_d_fusion_fold_results_1_3.csv
