Group,Group Name,Strategy,Completed_Folds,RMSE_kcal_mean,RMSE_kcal_std,MAE_kcal_mean,R2_mean,RMSE_Wkg_mean,Val_RMSE_kcal_mean,BestEpoch_mean,Params_mean,Time_sec_mean,Best_Single_Signal,Best_Single_RMSE_kcal,Improvement_vs_Best_Single_%
G1,Local,intermediate_fusion,10,1.6714062878889355,0.4660829120608495,1.314166671037674,0.5824663579463959,1.701741437163441,1.2518939712203365,15.1,148545.0,386.8451845884323,right Ankle Acceleration,2.052,18.547451857264353
G2,Global,intermediate_fusion,10,1.099315197750323,0.3904444627277954,0.8020003944635391,0.8582040548324585,1.0964871012873156,0.7695849184805997,11.2,148545.0,329.69114577770233,Minute Ventilation,0.991,-10.929888773998291
G3,Hexoskin,late_fusion,10,1.0942476500046872,0.4284303450467098,0.8591573864221573,0.8566739141941071,1.0895098479253769,0.6950024085964684,15.8,70281.0,198.50311875343323,Minute Ventilation,0.991,-10.418531786547645
G4,Physiological,late_fusion,10,1.0677577360127126,0.3801491701865117,0.8590502917766571,0.8376314997673034,1.0928641464411544,0.7078369331634536,16.7,70281.0,207.8182790994644,Minute Ventilation,0.991,-7.745482947801477
G5,Motion,intermediate_fusion,10,1.8746492529946852,0.6774082787915096,1.5014021337032317,0.5903349936008453,1.8582913521555908,1.3807211436340627,15.2,111425.0,255.4632491350174,right Ankle Acceleration,2.052,8.64282392813425
G6,Local + Global,intermediate_fusion,10,1.075271333527154,0.3172883190647814,0.851973682641983,0.8655809581279754,1.0720100758525253,0.7038551627682913,21.0,297025.0,937.3791569709778,Minute Ventilation,0.991,-8.503666349864176
